---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 189, src 73247, dst 30816, status Complete, result count 898036, preprocessing time 0.009483 seconds, query time 0.045922 seconds,
ID 190, src 25376, dst 11878, status Complete, result count 1044686, preprocessing time 0.008946 seconds, query time 0.046311 seconds,
ID 191, src 46599, dst 59140, status Complete, result count 13650, preprocessing time 0.004990 seconds, query time 0.005595 seconds,
ID 192, src 17309, dst 49725, status Complete, result count 13243, preprocessing time 0.004631 seconds, query time 0.005348 seconds,
ID 193, src 6127, dst 73708, status Complete, result count 17249771, preprocessing time 0.009583 seconds, query time 0.448108 seconds,
ID 194, src 26017, dst 30942, status Complete, result count 590252, preprocessing time 0.010405 seconds, query time 0.032654 seconds,
ID 195, src 70919, dst 70918, status Complete, result count 2, preprocessing time 0.000010 seconds, query time 0.000014 seconds,
ID 196, src 14197, dst 15919, status Complete, result count 47797354, preprocessing time 0.013716 seconds, query time 1.123064 seconds,
ID 197, src 10787, dst 35999, status Complete, result count 13874, preprocessing time 0.004343 seconds, query time 0.004910 seconds,
ID 198, src 15566, dst 33735, status Complete, result count 189928, preprocessing time 0.007295 seconds, query time 0.014709 seconds,
ID 199, src 31570, dst 47754, status Complete, result count 26116, preprocessing time 0.005337 seconds, query time 0.006365 seconds,
ID 200, src 15782, dst 35606, status Complete, result count 19887, preprocessing time 0.005749 seconds, query time 0.006635 seconds,
ID 201, src 43127, dst 23257, status Complete, result count 18354, preprocessing time 0.004901 seconds, query time 0.005686 seconds,
ID 202, src 1121, dst 30643, status Complete, result count 1816499, preprocessing time 0.008773 seconds, query time 0.082959 seconds,
ID 203, src 13285, dst 58168, status Complete, result count 74476, preprocessing time 0.008088 seconds, query time 0.011541 seconds,
ID 204, src 50880, dst 29990, status Complete, result count 15034, preprocessing time 0.005118 seconds, query time 0.005840 seconds,
ID 205, src 67922, dst 69667, status Complete, result count 5790, preprocessing time 0.003932 seconds, query time 0.004175 seconds,
ID 206, src 26079, dst 16432, status Complete, result count 544811, preprocessing time 0.007861 seconds, query time 0.020995 seconds,
ID 207, src 36452, dst 43410, status Complete, result count 77115, preprocessing time 0.007509 seconds, query time 0.010795 seconds,
ID 208, src 15126, dst 28006, status Complete, result count 32082556, preprocessing time 0.012636 seconds, query time 0.880854 seconds,
ID 209, src 28489, dst 44426, status Complete, result count 131237, preprocessing time 0.009582 seconds, query time 0.015361 seconds,
ID 210, src 51196, dst 1989, status Complete, result count 92, preprocessing time 0.000425 seconds, query time 0.000435 seconds,
ID 211, src 27573, dst 12151, status Complete, result count 302075, preprocessing time 0.007896 seconds, query time 0.018535 seconds,
ID 212, src 51440, dst 14120, status Complete, result count 105938, preprocessing time 0.007175 seconds, query time 0.010509 seconds,
ID 213, src 65251, dst 5767, status Complete, result count 75747, preprocessing time 0.006205 seconds, query time 0.008031 seconds,
ID 214, src 59286, dst 5021, status Complete, result count 45878, preprocessing time 0.006019 seconds, query time 0.007265 seconds,
ID 215, src 65507, dst 17582, status Complete, result count 1431, preprocessing time 0.002677 seconds, query time 0.002759 seconds,
ID 216, src 11403, dst 14993, status Complete, result count 5390185, preprocessing time 0.010202 seconds, query time 0.168974 seconds,
ID 217, src 46273, dst 48429, status Complete, result count 15542, preprocessing time 0.004772 seconds, query time 0.005289 seconds,
ID 218, src 32807, dst 70686, status Complete, result count 8747, preprocessing time 0.005758 seconds, query time 0.006266 seconds,
ID 219, src 33665, dst 35793, status Complete, result count 249060, preprocessing time 0.008216 seconds, query time 0.018202 seconds,
ID 220, src 41956, dst 47748, status Complete, result count 11367, preprocessing time 0.004733 seconds, query time 0.005270 seconds,
ID 221, src 2760, dst 9475, status Complete, result count 15572437, preprocessing time 0.009380 seconds, query time 0.454287 seconds,
ID 222, src 37168, dst 55345, status Complete, result count 258769, preprocessing time 0.009544 seconds, query time 0.019241 seconds,
ID 223, src 72390, dst 33425, status Complete, result count 638470, preprocessing time 0.008852 seconds, query time 0.032905 seconds,
ID 224, src 65560, dst 38019, status Complete, result count 9123, preprocessing time 0.004867 seconds, query time 0.005240 seconds,
ID 225, src 52639, dst 11734, status Complete, result count 15697, preprocessing time 0.005876 seconds, query time 0.006508 seconds,
