---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024793 seconds, query time 60.622541 seconds,
ID 178, src 6701, dst 1908, status Complete, result count 22385220172, preprocessing time 0.024133 seconds, query time 187.409825 seconds,
ID 179, src 14687, dst 618, status Complete, result count 4322127717, preprocessing time 0.022401 seconds, query time 49.718117 seconds,
ID 180, src 5310, dst 4362, status Complete, result count 5392626587, preprocessing time 0.021050 seconds, query time 100.782373 seconds,
ID 181, src 21149, dst 269, status Complete, result count 1805064026, preprocessing time 0.018845 seconds, query time 24.640836 seconds,
ID 182, src 6679, dst 7147, status Complete, result count 33585537, preprocessing time 0.017699 seconds, query time 1.086142 seconds,
ID 183, src 4721, dst 976, status Complete, result count 19021999021, preprocessing time 0.020223 seconds, query time 168.189072 seconds,
ID 184, src 775, dst 551, status Complete, result count 51262321899, preprocessing time 0.023192 seconds, query time 209.254014 seconds,
ID 185, src 8528, dst 33097, status Complete, result count 117700352, preprocessing time 0.020519 seconds, query time 3.480043 seconds,
ID 186, src 12608, dst 2305, status Complete, result count 819128472, preprocessing time 0.018335 seconds, query time 12.529814 seconds,
ID 187, src 747, dst 11777, status Complete, result count 540910607, preprocessing time 0.018793 seconds, query time 13.543044 seconds,
ID 188, src 2023, dst 23, status Complete, result count 22301009828, preprocessing time 0.022291 seconds, query time 221.517375 seconds,
ID 189, src 1518, dst 1049, status Complete, result count 8993090401, preprocessing time 0.022855 seconds, query time 194.946012 seconds,
ID 190, src 10417, dst 4845, status Complete, result count 123656529, preprocessing time 0.016723 seconds, query time 2.766460 seconds,
ID 191, src 17789, dst 6381, status Complete, result count 294514079, preprocessing time 0.016593 seconds, query time 6.909107 seconds,
ID 192, src 14852, dst 8552, status Complete, result count 285810652, preprocessing time 0.018912 seconds, query time 6.744102 seconds,
ID 193, src 13788, dst 9172, status Complete, result count 171314833, preprocessing time 0.015826 seconds, query time 3.399833 seconds,
ID 194, src 4062, dst 6301, status Complete, result count 2094971494, preprocessing time 0.018186 seconds, query time 45.082225 seconds,
ID 195, src 5371, dst 456, status Complete, result count 12328743933, preprocessing time 0.020795 seconds, query time 153.452784 seconds,
ID 196, src 7993, dst 456, status Complete, result count 4898140640, preprocessing time 0.021010 seconds, query time 60.414041 seconds,
ID 197, src 2810, dst 1645, status Complete, result count 1070570859, preprocessing time 0.018528 seconds, query time 26.005545 seconds,
ID 198, src 4076, dst 7762, status Complete, result count 380961690, preprocessing time 0.017914 seconds, query time 9.799111 seconds,
ID 199, src 14532, dst 3279, status Complete, result count 32826903, preprocessing time 0.014712 seconds, query time 0.503312 seconds,
ID 200, src 30336, dst 24691, status Complete, result count 102732758, preprocessing time 0.014213 seconds, query time 2.463000 seconds,
ID 201, src 1890, dst 12007, status Complete, result count 1266283451, preprocessing time 0.017977 seconds, query time 31.103490 seconds,
ID 202, src 18513, dst 15634, status Complete, result count 13715068, preprocessing time 0.014017 seconds, query time 0.438819 seconds,
ID 203, src 4354, dst 691, status Complete, result count 3227785273, preprocessing time 0.018224 seconds, query time 66.953390 seconds,
ID 204, src 18350, dst 13909, status Complete, result count 327924535, preprocessing time 0.020511 seconds, query time 8.325235 seconds,
ID 205, src 4539, dst 5027, status Complete, result count 205486385, preprocessing time 0.018453 seconds, query time 5.088879 seconds,
ID 206, src 2899, dst 19997, status Complete, result count 229314614, preprocessing time 0.018424 seconds, query time 5.460133 seconds,
ID 207, src 1393, dst 5691, status Complete, result count 5660559786, preprocessing time 0.019775 seconds, query time 106.104958 seconds,
ID 208, src 10651, dst 1813, status Complete, result count 184829688, preprocessing time 0.017710 seconds, query time 3.855079 seconds,
ID 209, src 1635, dst 1473, status Complete, result count 4969210549, preprocessing time 0.018563 seconds, query time 109.857988 seconds,
ID 210, src 3080, dst 3884, status Complete, result count 49107793, preprocessing time 0.014435 seconds, query time 1.293358 seconds,
ID 211, src 60, dst 22628, status Complete, result count 914222528, preprocessing time 0.016637 seconds, query time 22.974488 seconds,
ID 212, src 10636, dst 14946, status Complete, result count 6449721, preprocessing time 0.011289 seconds, query time 0.189074 seconds,
ID 213, src 1404, dst 6020, status Complete, result count 446634531, preprocessing time 0.016703 seconds, query time 11.757150 seconds,
ID 214, src 965, dst 1280, status Complete, result count 13415471049, preprocessing time 0.018271 seconds, query time 196.132000 seconds,
ID 215, src 630, dst 6534, status Complete, result count 246520589, preprocessing time 0.016525 seconds, query time 7.475977 seconds,
ID 216, src 2750, dst 5363, status Complete, result count 14222344123, preprocessing time 0.019962 seconds, query time 264.471061 seconds,
ID 217, src 5144, dst 36524, status Complete, result count 52191694, preprocessing time 0.018727 seconds, query time 1.711980 seconds,
ID 218, src 17455, dst 7652, status Complete, result count 174101772, preprocessing time 0.014626 seconds, query time 3.956662 seconds,
ID 219, src 12608, dst 101, status Complete, result count 10275792387, preprocessing time 0.019840 seconds, query time 43.730729 seconds,
ID 220, src 7596, dst 6000, status Complete, result count 256135213, preprocessing time 0.019931 seconds, query time 6.544038 seconds,
